plan,scenario,usage,gross_usd,tokens,standard_workflows,concepts_in_workflows,models_in_workflows,remaining_tokens_after_workflows,net_after_payment_fee,operating_reserve,assumed_variable_cost,contribution_usd,contribution_pct_gross,contribution_pct_net
ios_starter,apple_15,full_standard_workflows,3.9900,100,1,3,1,0,3.3915,0.1995,1.1400,2.0520,51.4286,60.5042
ios_starter,apple_15,all_tokens_cost_bound,3.9900,100,1,3,1,0,3.3915,0.1995,1.2000,1.9920,49.9248,58.7351
ios_starter,apple_15,double_cost_stress,3.9900,100,1,3,1,0,3.3915,0.1995,2.4000,0.7920,19.8496,23.3525
ios_starter,apple_30,full_standard_workflows,3.9900,100,1,3,1,0,2.7930,0.1995,1.1400,1.4535,36.4286,52.0408
ios_starter,apple_30,all_tokens_cost_bound,3.9900,100,1,3,1,0,2.7930,0.1995,1.2000,1.3935,34.9248,49.8926
ios_starter,apple_30,double_cost_stress,3.9900,100,1,3,1,0,2.7930,0.1995,2.4000,0.1935,4.8496,6.9280
ios_weekly,apple_15,full_standard_workflows,7.9900,300,3,9,3,0,6.7915,0.3995,3.4200,2.9720,37.1965,43.7606
ios_weekly,apple_15,all_tokens_cost_bound,7.9900,300,3,9,3,0,6.7915,0.3995,3.6000,2.7920,34.9437,41.1102
ios_weekly,apple_15,double_cost_stress,7.9900,300,3,9,3,0,6.7915,0.3995,7.2000,-0.8080,-10.1126,-11.8972
ios_weekly,apple_30,full_standard_workflows,7.9900,300,3,9,3,0,5.5930,0.3995,3.4200,1.7735,22.1965,31.7093
ios_weekly,apple_30,all_tokens_cost_bound,7.9900,300,3,9,3,0,5.5930,0.3995,3.6000,1.5935,19.9437,28.4910
ios_weekly,apple_30,double_cost_stress,7.9900,300,3,9,3,0,5.5930,0.3995,7.2000,-2.0065,-25.1126,-35.8752
ios_weekly_plus,apple_15,full_standard_workflows,9.9900,400,4,12,4,0,8.4915,0.4995,4.5600,3.4320,34.3544,40.4169
ios_weekly_plus,apple_15,all_tokens_cost_bound,9.9900,400,4,12,4,0,8.4915,0.4995,4.8000,3.1920,31.9520,37.5905
ios_weekly_plus,apple_15,double_cost_stress,9.9900,400,4,12,4,0,8.4915,0.4995,9.6000,-1.6080,-16.0961,-18.9366
ios_weekly_plus,apple_30,full_standard_workflows,9.9900,400,4,12,4,0,6.9930,0.4995,4.5600,1.9335,19.3544,27.6491
ios_weekly_plus,apple_30,all_tokens_cost_bound,9.9900,400,4,12,4,0,6.9930,0.4995,4.8000,1.6935,16.9520,24.2171
ios_weekly_plus,apple_30,double_cost_stress,9.9900,400,4,12,4,0,6.9930,0.4995,9.6000,-3.1065,-31.0961,-44.4230
ios_monthly,apple_15,full_standard_workflows,24.9900,1000,10,30,10,0,21.2415,1.2495,11.4000,8.5920,34.3818,40.4491
ios_monthly,apple_15,all_tokens_cost_bound,24.9900,1000,10,30,10,0,21.2415,1.2495,12.0000,7.9920,31.9808,37.6245
ios_monthly,apple_15,double_cost_stress,24.9900,1000,10,30,10,0,21.2415,1.2495,24.0000,-4.0080,-16.0384,-18.8687
ios_monthly,apple_30,full_standard_workflows,24.9900,1000,10,30,10,0,17.4930,1.2495,11.4000,4.8435,19.3818,27.6882
ios_monthly,apple_30,all_tokens_cost_bound,24.9900,1000,10,30,10,0,17.4930,1.2495,12.0000,4.2435,16.9808,24.2583
ios_monthly,apple_30,double_cost_stress,24.9900,1000,10,30,10,0,17.4930,1.2495,24.0000,-7.7565,-31.0384,-44.3406
web_starter,web_domestic_card,full_standard_workflows,9.9900,500,5,15,5,0,9.4003,0.4995,5.7000,3.2008,32.0399,34.0499
web_starter,web_domestic_card,all_tokens_cost_bound,9.9900,500,5,15,5,0,9.4003,0.4995,6.0000,2.9008,29.0369,30.8585
web_starter,web_domestic_card,double_cost_stress,9.9900,500,5,15,5,0,9.4003,0.4995,12.0000,-3.0992,-31.0231,-32.9693
web_creator,web_domestic_card,full_standard_workflows,24.9900,1300,13,39,13,0,23.9653,1.2495,14.8200,7.8958,31.5958,32.9468
web_creator,web_domestic_card,all_tokens_cost_bound,24.9900,1300,13,39,13,0,23.9653,1.2495,15.6000,7.1158,28.4745,29.6921
web_creator,web_domestic_card,double_cost_stress,24.9900,1300,13,39,13,0,23.9653,1.2495,31.2000,-8.4842,-33.9504,-35.4021
web_studio,web_domestic_card,full_standard_workflows,49.9900,2700,27,81,27,0,48.2403,2.4995,30.7800,14.9608,29.9276,31.0131
web_studio,web_domestic_card,all_tokens_cost_bound,49.9900,2700,27,81,27,0,48.2403,2.4995,32.4000,13.3408,26.6869,27.6549
web_studio,web_domestic_card,double_cost_stress,49.9900,2700,27,81,27,0,48.2403,2.4995,64.8000,-19.0592,-38.1260,-39.5089
